Rank,Title,Previous Rank, Revenues ($M) ,Revenue Change, Profits ($M) ,Profit Change, Assets ($M) , Mkt Value as of 3/29/18 ($M) ,Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State, Latitude , Longitude 
112,Progressive,120," $26,839.00 ",15%," $1,592.20 ",54%," $38,701.00 "," $35,478.00 ",33656,Susan Patricia Griffith,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),24,Mayfield,OH, 41.55200 , (81.43928)
113,Arrow Electronics,118," $26,813.00 ",13%, $402.00 ,-23%," $16,463.00 "," $6,750.00 ",18800,Michael J. Long,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Electronics and Office Equipment,24,Centennial,CO, 39.58075 , (104.87717)
114,Kraft Heinz,106," $26,232.00 ",-1%," $10,999.00 ",203%," $120,232.00 "," $75,920.00 ",39000,Bernardo Hees,Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,24,Pittsburgh,PA, 40.44062 , (79.99589)
115,Plains GP Holdings,141," $26,223.00 ",30%, $(731.00),-878%," $26,753.00 "," $6,328.00 ",4850,Greg L. Armstrong,Chairman &  Chief Executive Officer,Energy,Pipelines,5,Houston,TX, 29.76043 , (95.36980)
116,Gilead Sciences,92," $26,107.00 ",-14%," $4,628.00 ",-66%," $70,283.00 "," $98,298.00 ",10000,John F. Milligan IV,"President, Chief Executive Officer &  Director",Health Care,Pharmaceuticals,10,San Mateo,CA, 37.55855 , (122.27108)
117,Mondelez International,109," $25,896.00 ",0%," $2,922.00 ",76%," $63,109.00 "," $62,066.00 ",83000,Dirk Van de Put,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,11,Deerfield,IL, 42.17114 , (87.84451)
118,Northrop Grumman,114," $25,803.00 ",5%," $2,015.00 ",-8%," $34,917.00 "," $60,778.00 ",70000,Wesley G. Bush,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,24,Falls Church,VA, 38.88233 , (77.17109)
119,Raytheon,116," $25,348.00 ",5%," $2,024.00 ",-9%," $30,860.00 "," $62,265.00 ",64000,Thomas A. Kennedy,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,24,Waltham,MA, 42.37649 , (71.23561)
120,Macys,110," $24,837.00 ",-4%," $1,547.00 ",150%," $19,381.00 "," $9,065.00 ",130000,Jeffrey Gennette,Chairman &  Chief Executive Officer,Retailing,General Merchandisers,24,Cincinnati,OH, 39.10312 , (84.51202)
121,US Foods Holding,124," $24,147.00 ",5%, $444.30 ,112%," $9,037.00 "," $7,065.00 ",25204,Pietro Satriano,"Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Food and Grocery,7,Rosemont,IL, 41.98675 , (87.87216)
122,U.S. Bancorp,125," $23,996.00 ",6%," $6,218.00 ",6%," $462,040.00 "," $83,367.00 ",72402,Andrew J. Cecere,"President, Chief Executive Officer &  Director",Financials,Commercial Banks,20,Minneapolis,MN, 44.97775 , (93.26501)
123,Dollar General,128," $23,471.00 ",7%," $1,539.00 ",23%," $12,517.00 "," $25,141.00 ",129000,Todd J. Vasos,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,20,Goodlettsville,TN, 36.32311 , (86.71333)
124,International Paper,133," $23,302.00 ",11%," $2,144.00 ",137%," $33,903.00 "," $22,063.00 ",56000,Mark S. Sutton,Chairman &  Chief Executive Officer,Materials,"Packaging, Containers",24,Memphis,TN, 35.14953 , (90.04898)
125,Duke Energy,121," $23,189.00 ",-1%," $3,059.00 ",42%," $137,914.00 "," $54,276.00 ",29060,Lynn J. Good,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Charlotte,NC, 35.22709 , (80.84313)
126,Southern,145," $23,031.00 ",16%, $842.00 ,-66%," $111,005.00 "," $45,024.00 ",31344,Thomas A. Fanning,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Atlanta,GA, 33.74900 , (84.38798)
127,Marriott International,163," $22,894.00 ",34%," $1,372.00 ",76%," $23,948.00 "," $48,531.00 ",177000,Arne M. Sorenson,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",20,Bethesda,MD, 38.98465 , (77.09471)
128,Avnet,108," $22,872.00 ",-13%, $525.30 ,4%," $9,700.00 "," $5,009.00 ",15700,William J. Amelio,Chief Executive Officer &  Director,Wholesalers,Wholesalers: Electronics and Office Equipment,24,Phoenix,AZ, 33.44838 , (112.07404)
129,Eli Lilly,132," $22,871.00 ",8%, $(204.10),-108%," $44,981.00 "," $84,542.00 ",40655,David A. Ricks,"Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,24,Indianapolis,IN, 39.76840 , (86.15807)
130,Amgen,123," $22,849.00 ",-1%," $1,979.00 ",-74%," $79,954.00 "," $122,842.00 ",20800,Robert A. Bradway,"Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,19,Thousand Oaks,CA, 34.17056 , (118.83759)
131,McDonalds,112," $22,820.00 ",-7%," $5,192.30 ",11%," $33,804.00 "," $124,244.00 ",235000,Stephen J. Easterbrook,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure",Food Services,24,Oak Brook,IL, 41.83979 , (87.95355)
132,Starbucks,131," $22,387.00 ",5%," $2,884.70 ",2%," $14,366.00 "," $81,370.00 ",277000,Keven R. Johnson,"President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure",Food Services,16,Seattle,WA, 47.60621 , (122.33207)
133,Qualcomm,119," $22,291.00 ",-5%," $2,466.00 ",-57%," $65,486.00 "," $82,027.00 ",33800,Steven M. Mollenkopf,Chairman &  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,19,San Diego,CA, 32.71574 , (117.16108)
134,Dollar Tree,136," $22,246.00 ",7%," $1,714.30 ",91%," $16,333.00 "," $22,523.00 ",116200,Gary M. Philbin,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,10,Chesapeake,VA, 36.76821 , (76.28749)
135,PBF Energy,172," $21,787.00 ",37%, $415.50 ,143%," $8,118.00 "," $3,752.00 ",3165,Thomas J. Nimbley,Chairman &  Chief Executive Officer,Energy,Petroleum Refining,6,Parsippany-Troy Hills,NJ, 40.86529 , (74.41739)
136,Icahn Enterprises,168," $21,744.00 ",33%," $2,430.00 ",," $31,801.00 "," $9,901.00 ",89034,Keith Cozza,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,10,New York,NY, 40.71278 , (74.00597)
137,Aflac,126," $21,667.00 ",-4%," $4,604.00 ",73%," $137,217.00 "," $34,038.00 ",11318,Daniel P. Amos,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,Columbus,GA, 32.46098 , (84.98771)
138,AutoNation,129," $21,535.00 ",0%, $434.60 ,1%," $10,272.00 "," $4,296.00 ",26000,Michael J. Jackson,"Chairman, President &  Chief Executive Officer",Retailing,"Automotive Retailing, Services",21,Fort Lauderdale,FL, 26.12244 , (80.13732)
139,Penske Automotive Group,142," $21,389.00 ",6%, $613.30 ,79%," $10,541.00 "," $3,817.00 ",26000,Roger S. Penske,Chairman &  Chief Executive Officer,Retailing,"Automotive Retailing, Services",20,Bloomfield Hills,MI, 42.58365 , (83.24549)
140,Whirlpool,137," $21,253.00 ",3%, $350.00 ,-61%," $20,038.00 "," $10,824.00 ",92000,Marc R. Bitzer,"President, Chief Executive Officer &  Director",Industrials,"Electronics, Electrical Equip.",24,Benton Harbor,MI, 42.11671 , (86.45419)
141,Union Pacific,143," $21,240.00 ",7%," $10,712.00 ",153%," $57,806.00 "," $104,261.00 ",41992,Lance M. Fritz,"Chairman, President &  Chief Executive Officer",Transportation,Railroads,24,Omaha,NE, 41.25654 , (95.93450)
142,Southwest Airlines,138," $21,171.00 ",4%," $3,488.00 ",55%," $25,110.00 "," $33,678.00 ",56110,Gary C. Kelly,Chairman &  Chief Executive Officer,Transportation,Airlines,24,Dallas,TX, 32.77666 , (96.79699)
143,ManpowerGroup,146," $21,034.00 ",7%, $545.40 ,23%," $8,884.00 "," $7,614.00 ",29000,Jonas Prising,Chairman &  Chief Executive Officer,Business Services,Temporary Help,24,Milwaukee,WI, 43.03890 , (87.90647)
144,Thermo Fisher Scientific,154," $20,918.00 ",15%," $2,225.00 ",10%," $56,669.00 "," $82,952.00 ",66100,Marc N. Casper,"President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",16,Waltham,MA, 42.37649 , (71.23561)
145,Bristol-Myers Squibb,147," $20,776.00 ",7%," $1,007.00 ",-77%," $33,551.00 "," $103,415.00 ",23700,Giovanni Caforio,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,24,New York,NY, 40.71278 , (74.00597)
146,Halliburton,173," $20,620.00 ",30%, $(463.00),," $25,085.00 "," $41,068.00 ",55000,Jeffrey A. Miller,"President, Chief Executive Officer &  Director",Energy,"Oil and Gas Equipment, Services",24,Houston,TX, 29.76043 , (95.36980)
147,Tenet Healthcare,134," $20,613.00 ",-2%, $(704.00),," $23,385.00 "," $2,452.00 ",111980,Ronald A. Rittenmeyer,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,24,Dallas,TX, 32.77666 , (96.79699)
148,Lear,151," $20,467.00 ",10%," $1,313.40 ",35%," $11,946.00 "," $12,453.00 ",165000,Raymond E. Scott,"President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Southfield,MI, 42.47337 , (83.22187)
149,Cummins,159," $20,428.00 ",17%, $999.00 ,-28%," $18,075.00 "," $26,757.00 ",58600,N. Thomas Linebarger,Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,24,Columbus,IN, 39.20144 , (85.92138)
150,Micron Technology,226," $20,322.00 ",64%," $5,089.00 ",," $35,336.00 "," $60,470.00 ",34100,Sanjay Mehrotra,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,21,Boise,ID, 43.61502 , (116.20231)
151,Nucor,169," $20,252.00 ",25%," $1,318.70 ",66%," $15,841.00 "," $19,432.00 ",25100,John J. Ferriola,"Chairman, President &  Chief Executive Officer",Materials,Metals,24,Charlotte,NC, 35.22709 , (80.84313)
152,Molina Healthcare,156," $19,883.00 ",12%, $(512.00),-1085%," $8,471.00 "," $4,867.00 ",20000,Joseph M. Zubretsky,"President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,7,Long Beach,CA, 33.77005 , (118.19374)
153,Fluor,149," $19,521.00 ",3%, $191.40 ,-32%," $9,328.00 "," $8,006.00 ",56706,David T. Seaton,Chairman &  Chief Executive Officer,Engineering &  Construction,"Engineering, Construction",17,Irving,TX, 32.81402 , (96.94889)
154,Altria Group,148," $19,494.00 ",1%," $10,222.00 ",-28%," $43,202.00 "," $118,436.00 ",8300,Howard A. Willard III,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Tobacco,24,Richmond,VA, 37.54072 , (77.43605)
155,Paccar,164," $19,456.00 ",14%," $1,675.20 ",221%," $23,440.00 "," $23,298.00 ",25000,Ronald E. Armstrong,Chairman &  Chief Executive Officer,Industrials,Construction and Farm Machinery,24,Bellevue,WA, 47.61015 , (122.20152)
156,Hartford Financial Services,153," $19,228.00 ",5%," $(3,131.00)",-449%," $225,260.00 "," $18,392.00 ",16400,Christopher J. Swift,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),23,Hartford,CT, 41.76580 , (72.67337)
157,Kohls,150," $19,095.00 ",2%, $859.00 ,55%," $13,340.00 "," $11,021.00 ",85000,Michelle D. Gass,Chairman &  Chief Executive Officer,Retailing,General Merchandisers,21,Menomonee Falls,WI, 43.17890 , (88.11731)
158,Western Digital,217," $19,093.00 ",47%, $397.00 ,64%," $29,860.00 "," $27,456.00 ",67629,Stephen D. Milligan,Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",15,San Jose,CA, 37.33821 , (121.88633)
159,Jabil,152," $19,063.10 ",4%, $129.10 ,-49%," $11,096.00 "," $5,035.00 ",170000,Mark T. Mondello,Chairman &  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,17,St. Petersburg,FL, 27.76760 , (82.64029)
160,Community Health Systems,130," $18,477.00 ",-14%," $(2,459.00)",," $17,450.00 ", $454.00 ,86000,Wayne T. Smith,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,12,Franklin,TN, 35.92506 , (86.86889)
161,Visa,187," $18,358.00 ",22%," $6,699.00 ",12%," $67,977.00 "," $270,222.00 ",15000,Alfred F. Kelly Jr.,Chairman &  Chief Executive Officer,Business Services,Financial Data Services,10,SF,CA, 37.77493 , (122.41942)
162,Danaher,144," $18,330.00 ",-8%," $2,492.10 ",-2%," $46,649.00 "," $68,385.00 ",67000,Thomas P. Joyce Jr.,"President, Chief Executive Officer &  Director",Health Care,Medical Products and Equipment,20,Leavenworth,WA, 47.75107 , (120.74014)
163,Kimberly-Clark,155," $18,259.00 ",0%," $2,278.00 ",5%," $15,151.00 "," $38,553.00 ",42000,Thomas J. Falk,Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,24,Irving,TX, 32.81402 , (96.94889)
164,AECOM,161," $18,203.00 ",5%, $339.40 ,253%," $14,397.00 "," $5,671.00 ",87000,Michael S. Burke,Chairman &  Chief Executive Officer,Engineering &  Construction,"Engineering, Construction",10,Los Angeles,CA, 34.05223 , (118.24368)
165,PNC Financial Services,166," $18,035.00 ",10%," $5,338.00 ",37%," $380,768.00 "," $71,323.00 ",51632,William S. Demchak,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,24,Pittsburgh,PA, 40.44062 , (79.99589)
166,CenturyLink,160," $17,656.00 ",1%," $1,389.00 ",122%," $75,611.00 "," $17,578.00 ",51000,Jeffrey K. Storey,"President, Chief Executive Officer &  Director",Telecommunications,Telecommunications,9,Monroe,LA, 32.50931 , (92.11930)
167,NextEra Energy,170," $17,195.00 ",6%," $5,378.00 ",85%," $97,827.00 "," $76,895.00 ",14000,James L. Robo,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,North Palm Beach,FL, 26.87978 , (80.05337)
168,PG& E Corp.,157," $17,135.00 ",-3%," $1,646.00 ",18%," $68,012.00 "," $22,664.00 ",23000,Geisha J. Williams,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,SF,CA, 37.77493 , (122.41942)
169,Synnex,198," $17,046.00 ",21%, $301.20 ,28%," $7,699.00 "," $4,702.00 ",113600,Dennis Polk,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Electronics and Office Equipment,12,Fremont,CA, 37.54827 , (121.98857)
170,WellCare Health Plans,195," $17,007.00 ",20%, $373.70 ,54%," $8,365.00 "," $8,622.00 ",8900,Kenneth A. Burdick,Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,10,Tampa,FL, 27.95058 , (82.45718)
171,Performance Food Group,171," $16,762.00 ",4%, $96.30 ,41%," $3,804.00 "," $3,104.00 ",14000,George L. Holm,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Food and Grocery,10,Richmond,VA, 37.54072 , (77.43605)
172,Sears Holdings,127," $16,702.00 ",-25%, $(383.00),," $7,262.00 ", $288.00 ,89000,Edward S. Lampert,Chairman &  Chief Executive Officer,Retailing,General Merchandisers,24,Hoffman Estates,IL, 42.06299 , (88.12272)
173,Synchrony Financial,185," $16,695.00 ",10%," $1,935.00 ",-14%," $95,808.00 "," $25,490.00 ",16000,Margaret M. Keane,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,2,Stamford,CT, 41.05343 , (73.53873)
174,CarMax,174," $16,637.00 ",5%, $627.00 ,1%," $16,279.00 "," $11,202.00 ",24344,William D. Nash,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",15,Richmond,VA, 37.54072 , (77.43605)
175,Bank of New York Mellon,177," $16,621.00 ",6%," $4,090.00 ",15%," $371,758.00 "," $51,919.00 ",52500,Charles W. Scharf,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York City,NY, 40.71278 , (74.00597)
176,Freeport-McMoRan,175," $16,416.00 ",4%," $1,817.00 ",," $37,302.00 "," $25,439.00 ",25200,Richard C. Adkerson,"Vice Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",13,Phoenix,AZ, 33.44838 , (112.07404)
177,Genuine Parts,180," $16,309.00 ",6%, $616.80 ,-10%," $12,412.00 "," $13,183.00 ",48000,Paul D. Donahue,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,24,Atlanta,GA, 33.74900 , (84.38798)
178,Emerson Electric,139," $16,301.00 ",-20%," $1,518.00 ",-7%," $19,589.00 "," $43,359.00 ",76500,David N. Farr,Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,24,St. Louis,MO, 38.62700 , (90.19940)
179,DaVita,181," $16,038.00 ",6%, $663.60 ,-25%," $18,948.00 "," $12,001.00 ",74500,Kent J. Thiry,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,12,Denver,CO, 39.73924 , (104.99025)
180,Supervalu,158," $16,009.00 ",-9%, $650.00 ,265%," $3,580.00 ", $585.00 ,29000,Mark Gross,"President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,24,Eden Prairie,MN, 44.85469 , (93.47079)
181,Gap,178," $15,855.00 ",2%, $848.00 ,25%," $7,989.00 "," $12,147.00 ",135000,Arthur L. Peck,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Apparel,24,SF,CA, 37.77493 , (122.41942)
182,General Mills,165," $15,620.00 ",-6%," $1,657.50 ",-2%," $21,813.00 "," $26,716.00 ",38000,Jeffrey L. Harmening,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,24,Minneapolis,MN, 44.97775 , (93.26501)
183,Nordstrom,188," $15,478.00 ",5%, $437.00 ,23%," $8,115.00 "," $8,123.00 ",76000,Blake W. Nordstrom,Co-President &  Director,Retailing,General Merchandisers,24,Seattle,WA, 47.60621 , (122.33207)
184,Colgate-Palmolive,182," $15,454.00 ",2%," $2,024.00 ",-17%," $12,676.00 "," $62,607.00 ",35900,Ian M. Cook,"Chairman, President &  Chief Executive Officer",Household Products,Household and Personal Products,24,New York,NY, 40.71278 , (74.00597)
185,American Electric Power,167," $15,425.00 ",-6%," $1,912.60 ",213%," $64,729.00 "," $33,766.00 ",17666,Nicholas K. Akins,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Columbus,OH, 39.96118 , (82.99879)
186,XPO Logistics,191," $15,381.00 ",5%, $340.20 ,393%," $12,602.00 "," $12,210.00 ",95000,Bradley S. Jacobs,Chairman &  Chief Executive Officer,Transportation,Transportation and Logistics,3,Greenwich,CT, 41.02624 , (73.62820)
187,Goodyear Tire & Rubber,184," $15,377.00 ",1%, $346.00 ,-73%," $17,064.00 "," $6,392.00 ",64000,Richard J. Kramer,"Chairman, President &  Chief Executive Officer",Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Akron,OH, 41.08144 , (81.51901)
188,Omnicom Group,179," $15,274.00 ",-1%," $1,088.40 ",-5%," $24,931.00 "," $16,734.00 ",77300,John D. Wren,"President, Chief Executive Officer &  Director",Business Services,"Advertising, marketing",22,New York,NY, 40.71278 , (74.00597)
189,CDW,199," $15,192.00 ",9%, $523.00 ,23%," $6,957.00 "," $10,717.00 ",8726,Thomas E. Richards,"Chairman, President &  Chief Executive Officer",Technology,Information Technology Services,14,Lincolnshire,IL, 42.19002 , (87.90840)
190,Sherwin-Williams,236," $14,984.00 ",26%," $1,772.30 ",57%," $19,958.00 "," $36,899.00 ",52695,John G. Morikis,"Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,24,Cleveland,OH, 41.49932 , (81.69436)
191,PPG Industries,183," $14,967.00 ",-1%," $1,591.00 ",81%," $16,538.00 "," $27,824.00 ",47200,Michael H. McGarry,Chairman &  Chief Executive Officer,Chemicals,Chemicals,24,Pittsburgh,PA, 40.44062 , (79.99589)
192,Texas Instruments,206," $14,961.00 ",12%," $3,682.00 ",2%," $17,642.00 "," $102,135.00 ",29714,Brian T. Crutcher,"Chairman, President &  Chief Executive Officer",Technology,Semiconductors and Other Electronic Components,24,Dallas,TX, 32.77666 , (96.79699)
193,C.H. Robinson Worldwide,212," $14,869.00 ",13%, $504.90 ,-2%," $4,236.00 "," $13,153.00 ",15074,John P. Wiehoff,"Chairman, President &  Chief Executive Officer",Transportation,Transportation and Logistics,17,Eden Prairie,MN, 44.85469 , (93.47079)
194,WestRock,190," $14,860.00 ",1%, $708.20 ,," $25,089.00 "," $16,372.00 ",44800,Steven C. Voorhees,"President, Chief Executive Officer &  Director",Materials,"Packaging, Containers",7,Atlanta,GA, 33.74900 , (84.38798)
